level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,40,42,59,59,63.041634,@
5,1,1,1,1,2,109,16,196,63,0.0,SharcRHAFÂ®
5,1,1,1,1,3,325,32,22,24,28.797878,&
5,1,1,1,1,4,372,22,12,30,29.586687,4
5,1,1,1,1,5,399,20,11,36,39.267334,&
5,1,1,1,1,6,425,16,22,63,13.652067,3t
5,1,1,1,1,7,483,16,58,63,8.512096,et
5,1,1,1,2,1,109,69,38,45,78.825623,@K
5,1,1,1,2,2,140,73,185,34,0.0,eservat
5,1,1,1,2,3,273,69,54,45,0.0,"v,"
5,1,1,1,2,4,332,73,241,37,3.336601,"SHT,E"
5,1,1,1,2,5,435,69,34,45,59.573944,937
5,1,1,1,2,6,483,69,57,45,0.0,=TT
5,1,1,1,2,7,555,69,23,45,25.390596,&
